fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-17,CAL3-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA IV,02,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,29,25,EN LINEA
2022-03-17,ESCN-I,Facultad de Ciencias Sociales,IDIOMAS,ESTUDIO SOBRE LA CULTURA NORTEAMERICANA,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,41,38,EN LINEA
2022-03-17,ORAI-H,Facultad de Ciencias Sociales,IDIOMAS,ORATORIA Y PROTOCOLO EN INGLÉS,01,13:00-16:00,Sab,PRIMERA,DIFERIDA,60,1,EN LINEA
2022-03-17,DEC4-D06,Facultad de Derecho,DERECHO,DERECHO CIVIL IV,01,06:30-08:00,Mie-Sab,PRIMERA,DIFERIDA,90,3,EN LINEA
2022-03-17,FILO-H,Facultad de Ciencias Sociales,ANTROPOLOGIA,FILOSOFÍA,11,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,91,49,EN LINEA
2022-03-17,ING1-H,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS I,07,09:30-11:00,Ma-Jue,SEGUNDA,ORDINARIA,127,121,EN LINEA
2022-03-17,PSD1-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA DEL DESARROLLO I,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,58,58,EN LINEA
2022-03-17,FEPP-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,91,89,EN LINEA
2022-03-17,MIC1-E,Facultad de Ciencias Empresariales,NEGOCIOS,MICROECONOMÍA I,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,10,9,EN LINEA
2022-03-17,OTSO-N,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ORIENTACIÓN TÉCNICA DEL SOFTWARE,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,14,14,EN LINEA
